课程号,课程名,学年,课程性质,学分
25051,c#课程设计,2020,必修,2
23899,Java课程设计,2023,必修,2
41543,Rvfpga课程,2023,选修,1.5
44584,材料力学,2022,必修,2.5
57406,材料力学,2023,必修,2.5
17150,电磁学,2020,必修,3
46785,电磁学,2021,必修,3
47539,电磁学,2022,必修,3
39913,电路与模拟电子实验,2023,必修,3
49624,电路与模拟电子实验,2022,必修,3
46125,动物解剖学,2019,必修,2
27869,分子生物学基础,2020,必修,3
45811,工程伦理,2020,选修,1.5
43616,光基科技,2021,选修,1.5
28235,海洋微生物学,2022,必修,2.5
59481,海洋微生物学,2023,必修,2.5
60198,海洋微生物学,2021,必修,2.5
23110,宏观经济学,2020,必修,2
48973,宏观经济学,2021,必修,2
19373,基础物理学,2020,必修,2.5
29591,健美操,2020,选修,2
14355,结构化学,2023,必修,2.5
56832,结构化学,2022,必修,2.5
56841,结构化学,2021,必修,2.5
34942,结构力学,2023,必修,3
26306,精神病学,2021,必修,2.5
29019,考古发现与中国文化,2019,选修,1.5
12050,离散数学,2020,必修,2.5
51020,离散数学,2019,必修,2.5
53143,离散数学,2023,必修,2.5
13791,流行病学基础,2020,必修,2.5
58599,流行病学基础,2021,必修,2.5
58818,流行病学基础,2022,必修,2.5
16891,马克思主义基本原理,2023,选修,1
14293,人工智能与信息社会,2019,选修,2.5
37843,韧性城市生态规划,2020,选修,1.5
11935,软件工程,2021,必修,2.5
49876,软件工程,2022,必修,2.5
46166,食品微观世界,2021,选修,1.5
34034,兽医药理学,2021,必修,2.5
35700,蔬菜栽培学,2021,必修,2
13473,数据结构与算法,2020,必修,2.5
52988,数据结构与算法,2021,必修,2.5
41252,数值分析方法,2021,选修,1.5
19179,数字逻辑电路,2019,必修,2
13406,线性代数,2019,必修,2.5
51941,线性代数,2020,必修,2.5
53637,线性代数,2023,必修,2.5
41303,形势与政策,2023,选修,1
22951,语言学概论,2020,选修,1.5
44030,运营管理与分析,2020,选修,1.5
13738,中国当代文学,2023,选修,1.5
16018,中国近代史纲要,2020,选修,1
29404,中国土地制度,2023,选修,2
35580,组合优化,2022,选修,2
