学号			姓名			性别		年级		学院			专业			原学院			原专业			所有课程平均分	所有课程平均绩点	必修课程平均分	必修课程平均绩点

10000000	1111		    女		2023		111		1111	111	1111	80.00	3.0000	85.00	3.3000

10000001	101		    女		2024		10001		10001	10001	10001	80.00	3.0000	85.00	3.3000

10000002	102		    男		2024		10002		10002	10002	10002	80.00	3.0000	85.00	3.3000

10000003	103学生		    女		2022		10003学院		10003专业	10003学院	10003专业	80.00	3.0000	85.00	3.3000

10000004	测试104		    男		2004		10004		10004	10004	10004	80.00	3.0000	85.00	3.3000

10000005	107		    女		2005		10005		10005a	10005	10005a	80.00	3.0000	85.00	3.3000

10000006	测试106		    男		2006		10006院		10006专业	10006院	10006专业	80.00	3.0000	85.00	3.3000

10000007	107d		    女		2024		10007		10007ddd	10007	10007ddd	80.00	3.0000	85.00	3.3000

11111110	测试3		    男		2024		测试学院		测试专业	测试学院	测试专业	80.00	3.0000	85.00	3.3000

11111115	测试呢		    女		2024		测测测		是是是	测测测	是是是	80.00	3.0000	85.00	3.3000

11223344	一二三		    男		2023		三二一		二四六	三二一	二四六	80.00	3.0000	85.00	3.3000

12300000	彬彬彬		    女		2021		测试222		测试2222	测试	测试2	80.00	3.0000	85.00	3.3000

12345678	测试员1		    女		2023		测试学院111		测试专业2111	测试学院	测试专业2	80.00	3.0000	85.00	3.3000

12345679	1测试		    女		2023		测试学院		测试专业3	测试学院	测试专业3	80.00	3.0000	85.00	3.3000

13245685	测试过		    男		2022		小学院		大专业2	小学院	大专业	80.00	3.0000	85.00	3.3000

21230001	王五		    男		2023		计算机科学与技术学院		计算机科学与技术	计算机科学与技术学院	计算机科学与技术	80.00	3.0000	85.00	3.3000

21230002	赵六		    女		2023		计算机科学与技术学院		计算机科学与技术	计算机科学与技术学院	计算机科学与技术	80.00	3.0000	85.00	3.3000

22222220	测试员3		    女		2024		测试学院		测试专业	测试学院	测试专业	80.00	3.0000	85.00	3.3000

22222222	jjj		    女		2023		111		111	111	111	80.00	3.0000	85.00	3.3000

33333330	测试员4		    男		2024		测试学院		测试专业	测试学院	测试专业	80.00	3.0000	85.00	3.3000

40240001	勾9		    男		2024		人工智能学院		人工智能	人工智能学院	人工智能	80.00	3.0000	85.00	3.3000

43434343	dddddd		    男		2021		404444		404555555	404	404	80.00	3.0000	85.00	3.3000

55230001	测试3		    男		2024		测试学院		测试专业	测试学院	测试专业	80.00	3.0000	85.00	3.3000

55230002	李四		    女		2023		软件学院		软件工程	计算机科学与技术学院	计算机科学与技术	80.00	3.0000	85.00	3.3000

55230004	张三		    女		2023		软件学院		数据科学与大数据技术	软件学院	数据科学与大数据技术	80.00	3.0000	85.00	3.3000

55555555	jhk		    女		2024		55667788		66	55	66	80.00	3.0000	85.00	3.3000

66666666	明亮		    男		2023		前沿交叉学科学院		光电信息科学与工程	前沿交叉学科学院	光电信息科学与工程	80.00	3.0000	85.00	3.3000

77654321	测试员2		    男		2023		测试学院		测试专业12	测试学院	测试专业1	80.00	3.0000	85.00	3.3000

77767868	123		    男		2022		测测		试试	测测	试试	0.00	0.0000	0.00	0.0000

77777777	六六六		    女		2023		测试3转		测试4转	测试3	测试4	80.00	3.0000	85.00	3.3000

98765432	测试文件		    女		2022		测试		11111	测试	11111	80.00	3.0000	85.00	3.3000

